publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name
African Yearbook of International Law Online / Annuaire Africain de droit international Online	1380-7412	2211-6176	2000	8	1	2001	9	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2333373931373430353238				fulltext		
African Yearbook of International Law Online / Annuaire Africain de droit international Online	1380-7412	2211-6176	2003	11	1	2008	16	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2333373931373430353238				fulltext		
Agricultural Research	0002161X		1953	1	1	2000	48	9	https://journalarchives.jisc.ac.uk/results?tab=title&jid=2031274				fulltext		
AJS Review	0364-0094	1475-4541	1984	9	1	1999	24	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%233431333739323237				fulltext		
AJS Review	0364-0094	1475-4541	2001	25	1	2001	25	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%233431333739323237				fulltext		
Alcohol and Alcoholism	0735-0414	1464-3502	1963	1	1	1995	30	6	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2332323135363539333830				fulltext		
American Drama	10610057		1991	1	1	2005	14	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=2030446				fulltext		
American Jewish Historical Quarterly	0164-0178		1961	51	1	1978	67	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%23343933313639383836				fulltext		
American Jewish Historical Society, Publications	0164-0178		1893	1		1897	6		https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2331313434393633373730				fulltext		
American Jewish Historical Society, Publications	0164-0178		1899	7		1907	16		https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2331313434393633373730				fulltext		
American Jewish Historical Society, Publications	0164-0178		1909	17		1911	20		https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2331313434393633373730				fulltext		
American Jewish Historical Society, Publications	0164-0178		1913	21		1918	26		https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2331313434393633373730				fulltext		
American Jewish Historical Society, Publications	0164-0178		1920	27		1920	27		https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2331313434393633373730				fulltext		
American Jewish Historical Society, Publications	0164-0178		1922	28		1922	28		https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2331313434393633373730				fulltext		
American Jewish Historical Society, Publications	0164-0178		1925	29		1926	30		https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2331313434393633373730				fulltext		
American Jewish Historical Society, Publications	0164-0178		1928	31		1928	31		https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2331313434393633373730				fulltext		
American Jewish Historical Society, Publications	0164-0178		1931	32		1931	32		https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2331313434393633373730				fulltext		
American Jewish Historical Society, Publications	0164-0178		1934	33		1934	33		https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2331313434393633373730				fulltext		
American Jewish Historical Society, Publications	0164-0178		1937	34		1937	34		https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2331313434393633373730				fulltext		
American Jewish Historical Society, Publications	0164-0178		1939	35		1939	35		https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2331313434393633373730				fulltext		
American Jewish Historical Society, Publications	0164-0178		1943	36		1943	36		https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2331313434393633373730				fulltext		
American Jewish Historical Society, Publications	0164-0178		1947	37		1961	50	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2331313434393633373730				fulltext		
American Jewish History	0164-0178		1978	68	1	1991	80	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2333383735373232313835				fulltext		
American Jewish History	0164-0178		1993	81	1	1995	83	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2333383735373232313835				fulltext		
American Journal of Epidemiology	0002-9262	1476-6256	1952	55	1	1954	60	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2333393438353635393836				fulltext		
American Journal of Epidemiology	0002-9262	1476-6256	1960	71	1	1962	76	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2333393438353635393836				fulltext		
American Journal of Epidemiology	0002-9262	1476-6256	1965	81	1	1995	142	12	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2333393438353635393836				fulltext		
American Journal of Germanic Linguistics and Literatures	1040-8207		1989	1	1	2000	12	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2332323032333131373635				fulltext		
American Journal of Hygiene	0002-9262	1476-6256	1921	1	1	1951	54	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2331313530353431333633				fulltext		
American Journal of Hygiene	0002-9262	1476-6256	1953	58	1	1959	69	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2331313530353431333633				fulltext		
American Journal of Hygiene	0002-9262	1476-6256	1961	74	1	1964	80	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2331313530353431333633				fulltext		
American Literary History	0896-7148	1468-4365	1989	1	1	1995	7	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2331353937363134303438				fulltext		
Amphibia-Reptilia	0173-5373	1568-5381	1980	1	1	2009	30	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2334303437383637303335				fulltext		
Analysis	0003-2638	1467-8284	1933	1	1	1940	7	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2334313832303931313130				fulltext		
Analysis	0003-2638	1467-8284	1947	8	1	1995	55	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2334313832303931313130				fulltext		
Analytical Communications	1359-7337	1364-5536	1996	33		1999	36	12	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33323033353736393031%23323538303339393233				fulltext		
Analytical Proceedings	0144-557X		1980	17		1993	30	12	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33323033353736393031%2331343431303731373231				fulltext		
Analytical Proceedings including Analytical Communications	0144-557X		1994	31		1995	32	12	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33323033353736393031%2332303233373831343731				fulltext		
Ancient Civilizations from Scythia to Siberia	0929-077X	1570-0577	1999	5	3	2009	15	3-4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2331363639323937363838				fulltext		
Ancient History Resources for Teachers	03105814		1971	1	1	2005	35	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=1976614				fulltext		
Ancient Mesoamerica	0956-5361	1469-1787	1990	1	1	1994	5	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2334323633303930323037				fulltext		
Ancient Mesoamerica	0956-5361	1469-1787	1996	7	1	1998	9	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2334323633303930323037				fulltext		
Anglo-Saxon England	0263-6751	1474-0532	1972	1		2000	29		https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2332353436393038383437				fulltext		
Animal Biology	1570-7555	1570-7563	2003	53	1	2009	59	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2332303932313936323536				fulltext		
Annals of Botany	0305-7364	1095-8290	1937	1	1	1995	76	6	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%23373838303137373134				fulltext		
Annals of Occupational Hygiene	0003-4878	1475-3162	1964	7	1	1995	39	6	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2331303032383032303537				fulltext		
Annals of Occupational Hygiene	0003-4878	1475-3162	1964	7	1	1995	39	6	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2331303032383032303537				fulltext		
Annals of Oncology	0923-7534	1569-8041	1990	1	1	1995	6	10	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2331323237333933313230				fulltext		
Annals of Physical Medicine	1462-0324	1462-0332	1952	1	1	1957	4	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2331393532333031303538				fulltext		
Annals of Physical Medicine	1462-0324	1462-0332	1959	5	1	1970	10	8	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2331393532333031303538				fulltext		
Annual Reports on Analytical Atomic Spectroscopy	0306-1353		1971	1		1984	14		https://journalarchives.jisc.ac.uk/results?tab=title&jid=33323033353736393031%2332353033343430373030				fulltext		
Annual Reports on the Progress of Chemistry	0365-6217		1904	1		1966	63		https://journalarchives.jisc.ac.uk/results?tab=title&jid=33323033353736393031%2332383633303033343037				fulltext		
Annual Reports on the Progress of Chemistry, Sect. B	0069-3030	1460-4779	1967	64		1996	93		https://journalarchives.jisc.ac.uk/results?tab=title&jid=33323033353736393031%2333303139333138323533				fulltext		
Annual Reports on the Progress of Chemistry, Sect. B	0069-3030	1460-4779	1998	94		2003	99	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33323033353736393031%2333303139333138323533				fulltext		
Annual Reports on the Progress of Chemistry, Sect. B	0069-3030	1460-4779	2005	101	Advance Articles	2007	103		https://journalarchives.jisc.ac.uk/results?tab=title&jid=33323033353736393031%2333303139333138323533				fulltext		
Annual Reports on the Progress of Chemistry, Sect. C	0260-1826	1460-4787	1979	76		1996	93		https://journalarchives.jisc.ac.uk/results?tab=title&jid=33323033353736393031%2333333034303637393633				fulltext		
Annual Reports on the Progress of Chemistry, Sect. C	0260-1826	1460-4787	1998	94		2007	103		https://journalarchives.jisc.ac.uk/results?tab=title&jid=33323033353736393031%2333333034303637393633				fulltext		
Annual Reports on the Progress of Chemistry, Section A: General Physical and Inorganic Chemistry	0069-3022		1967	64		1972	69		https://journalarchives.jisc.ac.uk/results?tab=title&jid=33323033353736393031%2332363135373330373937				fulltext		
Annual Reports on the Progress of Chemistry, Section A: Inorganic Chemistry	0260-1818	1460-4760	1979	76		1996	93		https://journalarchives.jisc.ac.uk/results?tab=title&jid=33323033353736393031%2331323937363030323138				fulltext		
Annual Reports on the Progress of Chemistry, Section A: Inorganic Chemistry	0260-1818	1460-4760	1998	94		2003	99	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33323033353736393031%2331323937363030323138				fulltext		
Annual Reports on the Progress of Chemistry, Section A: Inorganic Chemistry	0260-1818	1460-4760	2005	101		2007	103	Advance Articles	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33323033353736393031%2331323937363030323138				fulltext		
Annual Reports on the Progress of Chemistry, Section A: Physical and Inorganic Chemistry	0308-6003		1973	70		1978	75		https://journalarchives.jisc.ac.uk/results?tab=title&jid=33323033353736393031%2339373837313539				fulltext		
Anthropologica	0003-5459		1955	1		1959	8		https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2331363939353932393832				fulltext		
Anthropologica	0003-5459		1961	3	1	1990	32	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2331363939353932393832				fulltext		
Applied Herpetology	1570-7539	1570-7547	2003	1	1-2	2009	6	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2333353431333731303333				fulltext		
Applied Linguistics	0142-6001	1477-450X	1983	4	1	1995	16	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%23373631363435353836				fulltext		
Applied Psycholinguistics	0142-7164	1469-1817	1980	1	1	1998	19	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2334303839313432373932				fulltext		
Arab Law Quarterly	0268-0556	1573-0255	1988	3	4	2004	19	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2331363733363430353036				fulltext		
Arab Law Quarterly	0268-0556	1573-0255	2006	20	1	2009	23	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2331363733363430353036				fulltext		
Arabic Sciences and Philosophy	0957-4239	1474-0524	1991	1	1	1999	9	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2333363635353334363535				fulltext		
Arabica	0570-5398	1570-0585	1955	2	1	1977	24	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2331303731393639353435				fulltext		
Arabica	0570-5398	1570-0585	1979	26	1	1991	38	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2331303731393639353435				fulltext		
Arabica	0570-5398	1570-0585	1993	40	2	1993	40	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2331303731393639353435				fulltext		
Arabica	0570-5398	1570-0585	1995	42	1	2009	56	6	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2331303731393639353435				fulltext		
Aramaic Studies	1477-8351	1745-5227	2003	1	1	2009	7	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2332303633373933393335				fulltext		
Archaeological Dialogues	1380-2038	1478-2294	1994	1	2	2002	9	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2331313339363730353231				fulltext		
Architectural Research Quarterly	1359-1355	1474-0516	1995	1	1	1997	2	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2331343538303832383232				fulltext		
Architectural Research Quarterly	1359-1355	1474-0516	1999	3	1	2000	4	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2331343538303832383232				fulltext		
Architecture Plus Design	09702369		1985	2	1	2000	17	6	https://journalarchives.jisc.ac.uk/results?tab=title&jid=1816889				fulltext		
Archive for the Psychology of Religion	0084-6724	1573-6121	2000	23	1	2000	23	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%23333336363734333038				fulltext		
Archive for the Psychology of Religion	0084-6724	1573-6121	2003	24	1	2007	29	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%23333336363734333038				fulltext		
Archive for the Psychology of Religion	0084-6724	1573-6121	2009	31	1	2009	31	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%23333336363734333038				fulltext		
Archive for the Psychology of Religion / Archiv für Religionspychologie	0084-6724	1573-6121	1914	1	1	1914	5	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2331343634313939383732				fulltext		
Archive for the Psychology of Religion / Archiv für Religionspychologie	0084-6724	1573-6121	1929	4	1	1929	4	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2331343634313939383732				fulltext		
Archive for the Psychology of Religion / Archiv für Religionspychologie	0084-6724	1573-6121	1936	10	1	1936	10	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2331343634313939383732				fulltext		
Archive for the Psychology of Religion / Archiv für Religionspychologie	0084-6724	1573-6121	2008	30	1	2008	30	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2331343634313939383732				fulltext		
Archives of Clinical Neuropsychology	0887-6177	1873-5843	1986	1	1	1995	10	6	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2333303737363431363232				fulltext		
Arethusa	0004-0975		1968	1	1	1995	28	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2331303332313934363432				fulltext		
Aries	1567-9896	1570-0593	2001	1	1	2009	9	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2334303934313430373238				fulltext		
Artificial Intelligence for Engineering, Design, Analysis and Manufacturing	0890-0604	1469-1760	1987	1	1	1997	11	5	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2331333032353138353730				fulltext		
Asia-Pacific Journal on Human Rights and the Law	1388-1906	1571-8158	2000	1	1	2009	10	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2333363932393834343235				fulltext		
Asian Affairs, an American Review	0092-7678		1973		1	1996	22	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2331353933363730343037				fulltext		
Asian Journal of Social Science	1568-4849	1568-5314	2000	28	1	2009	37	6	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%23373531333533313236				fulltext		
Asian Medicine	1573-420X	1573-4218	2005	1	1	2009	5	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2332383034383932303839				fulltext		
Asian Perspectives	0066-8435		1957	1	1	1964	8	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2334313639303732383438				fulltext		
Asian Perspectives	0066-8435		1966	9		1982	25	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2334313639303732383438				fulltext		
Asian Perspectives	0066-8435		1984	26	1	1984	26	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2334313639303732383438				fulltext		
Asian Perspectives	0066-8435		1986	27	1	1986	27	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2334313639303732383438				fulltext		
Asian Perspectives	0066-8435		1988	28	1	1988	28	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2334313639303732383438				fulltext		
Asian Perspectives	0066-8435		1990	29	1	1995	34	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2334313639303732383438				fulltext		
Australian Geographer	0004-9182	1465-3311	1928	1	1	1929	1	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32353432333534303536%233938343537313633				fulltext		
Australian Geographer	0004-9182	1465-3311	1931	1	3	1943	4	6	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32353432333534303536%233938343537313633				fulltext		
Australian Geographer	0004-9182	1465-3311	1945	5	1	1948	5	7	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32353432333534303536%233938343537313633				fulltext		
Australian Geographer	0004-9182	1465-3311	1950	5	8	1996	27	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32353432333534303536%233938343537313633				fulltext		
Australian Journal of French Studies	00049468		1964	1	Jan 1, 1964	2000	37	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=1816879				fulltext		
Austrian History Yearbook	0067-2378	1558-5255	1965	1		1968	4		https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2333323234373439323231				fulltext		
Austrian History Yearbook	0067-2378	1558-5255	1970	6		1970	6		https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2333323234373439323231				fulltext		
Austrian History Yearbook	0067-2378	1558-5255	1972	8		1973	9		https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2333323234373439323231				fulltext		
Austrian History Yearbook	0067-2378	1558-5255	1975	11		1979	15		https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2333323234373439323231				fulltext		
Austrian History Yearbook	0067-2378	1558-5255	1981	17		1981	17		https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2333323234373439323231				fulltext		
Austrian History Yearbook	0067-2378	1558-5255	1983	19	1	1984	19	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2333323234373439323231				fulltext		
Austrian History Yearbook	0067-2378	1558-5255	1991	22		2004	35		https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2333323234373439323231				fulltext		
Austrian Review of International and European Law Online	1385-1306	1573-6512	2000	5	1	2008	13	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%23353533303836313138				fulltext		
B.A.B.P. bulletin	2041-3483		1975	3	1	1977	5	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2333343134323939323238				fulltext		
Baltic Yearbook of International Law Online	1569-6456	2211-5897	2001	1	1	2006	6	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2333353734363732353932				fulltext		
Baltic Yearbook of International Law Online	1569-6456	2211-5897	2008	8	1	2009	9	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2333353734363732353932				fulltext		
Bank of England Quarterly Bulletin	00055166		1960	1	1	2000	40	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=1816702				fulltext		
Batiment International, Building Research and Practice	0182-3329		1975	3	1	1990	18	6	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32353432333534303536%2333313530343537373531				fulltext		
Behavioral and Brain Sciences	0140-525X	1469-1825	1978	1	1	1978	1	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%23343236373834303734				fulltext		
Behavioral and Brain Sciences	0140-525X	1469-1825	1980	3	1	1989	12	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%23343236373834303734				fulltext		
Behavioral and Brain Sciences	0140-525X	1469-1825	1993	16	1	1996	19	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%23343236373834303734				fulltext		
Behavioral Ecology	1045-2249	1465-7279	1990	1	1	1995	6	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2331313930353636383137				fulltext		
Behaviour	0005-7959	1568-539X	2000	137	1	2009	146	12	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2331373933333233393839				fulltext		
Behavioural and Cognitive Psychotherapy	1352-4658	1469-1833	1993	21	3	1997	25	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%23353638333032303336				fulltext		
Behavioural Psychotherapy	0141-3473		1978	6	1	1993	21	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2331373631383237393935				fulltext		
Biblical Interpretation	0927-2569	1568-5152	2002	10	4	2003	11	3-4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2332373030373733333038				fulltext		
Biblical Interpretation	0927-2569	1568-5152	2007	15	1	2007	15	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2332373030373733333038				fulltext		
Biblical Interpretation	0927-2569	1568-5152	2009	17	1-2	2009	17	5	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2332373030373733333038				fulltext		
Biblical Interpretation: A Journal of Contemporary Approaches	0927-2569	1568-5152	1993	1	1	2008	16	5	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2332373139383435393837				fulltext		
Biogenic Amines	0168-8561	1569-3910	2002	17	1	2005	19	4-5	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%23343936393637363738				fulltext		
Bioinformatics	1367-4803	1460-2059	1985	1	1	1995	11	6	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%23373937303431363436				fulltext		
Biometrika	0006-3444	1464-3510	1901	1	1	1905	4	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%233731383733373534				fulltext		
Biometrika	0006-3444	1464-3510	1909	6	4	1911	8	1-2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%233731383733373534				fulltext		
Biometrika	0006-3444	1464-3510	1913	9	1-2	1916	11	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%233731383733373534				fulltext		
Biometrika	0006-3444	1464-3510	1919	12	3-4	1921	13	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%233731383733373534				fulltext		
