publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name
American Jewish Historical Society, Publications	0164-0178		1893	1		1897	6		http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/3033.html				fulltext			
American Jewish Historical Society, Publications	0164-0178		1899	7		1907	16		http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/3033.html				fulltext			
American Jewish Historical Society, Publications	0164-0178		1909	17		1911	20		http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/3033.html				fulltext			
American Jewish Historical Society, Publications	0164-0178		1913	21		1918	26		http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/3033.html				fulltext			
American Jewish Historical Society, Publications	0164-0178		1920	27		1920	27		http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/3033.html				fulltext			
American Jewish Historical Society, Publications	0164-0178		1922	28		1922	28		http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/3033.html				fulltext			
American Jewish Historical Society, Publications	0164-0178		1925	29		1926	30		http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/3033.html				fulltext			
American Jewish Historical Society, Publications	0164-0178		1928	31		1928	31		http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/3033.html				fulltext			
American Jewish Historical Society, Publications	0164-0178		1931	32		1931	32		http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/3033.html				fulltext			
American Jewish Historical Society, Publications	0164-0178		1934	33		1934	33		http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/3033.html				fulltext			
American Jewish Historical Society, Publications	0164-0178		1937	34		1937	34		http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/3033.html				fulltext			
American Jewish Historical Society, Publications	0164-0178		1939	35		1939	35		http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/3033.html				fulltext			
American Jewish Historical Society, Publications	0164-0178		1943	36		1943	36		http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/3033.html				fulltext			
American Jewish Historical Society, Publications	0164-0178		1947	37		1991	80	4	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/3033.html				fulltext			
American Jewish Historical Society, Publications	0164-0178		1993	81	1	1995	83	4	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/3033.html				fulltext			
American Journal of Germanic Linguistics and Literatures	1040-8207		1989	1	1	2000	12	2	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/JGL.html				fulltext			
American Journal of Hygiene	0002-9262	1476-6256	1921	1	1	1995	142	12	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/amjepid.html				fulltext			
American Literary History	0896-7148	1468-4365	1989	1	1	1995	7	4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/alhist.html				fulltext			
Amphibia-Reptilia	0173-5373	1568-5381	1980	1	1	2008	29	4	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/01735373.html				fulltext			
Analysis	0003-2638	1467-8284	1933	1	1	1940	7	1	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/analys.html				fulltext			
Analysis	0003-2638	1467-8284	1947	8	1	1995	55	4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/analys.html				fulltext			
Analytical Communications	1359-7337	1364-5536	1996	33	2	1999	36	12	http://www.jiscjournalarchives.ac.uk/browse/rsc/titles/AC.html				fulltext			
Analytical Proceedings			1980	17	1	1993	30	12	http://www.jiscjournalarchives.ac.uk/browse/rsc/titles/AP.html				fulltext			
Analytical Proceedings including Analytical Communications			1994	31	1	1995	32	12	http://www.jiscjournalarchives.ac.uk/browse/rsc/titles/AI.html				fulltext			
Ancient Civilizations from Scythia to Siberia		1570-0577	1999	5	3	2000	6	1	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/0929077X.html				fulltext			
Ancient Civilizations from Scythia to Siberia		1570-0577	2006	12	3	2006	12	3	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/0929077X.html				fulltext			
Ancient Civilizations from Scythia to Siberia		1570-0577	2008	14	1	2008	14	1	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/0929077X.html				fulltext			
Ancient Mesoamerica	0956-5361	1469-1787	1990	1	1	1994	5	2	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/ATM.html				fulltext			
Ancient Mesoamerica	0956-5361	1469-1787	1996	7	1	1998	9	2	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/ATM.html				fulltext			
Anglo-Saxon England	0263-6751	1474-0532	1972	1		2000	29		http://www.jiscjournalarchives.ac.uk/browse/cup/titles/ASE.html				fulltext			
Animal Biology	1570-7555	1570-7563	2003	53	1	2008	58	1	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/15707555.html				fulltext			
Annals of Botany	0305-7364	1095-8290	1937	1	1	1995	76	6	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/annbot.html				fulltext			
Annals of Occupational Hygiene	0003-4878	1475-3162	1964	7	1	1995	39	6	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/annhyg.html				fulltext			
Annals of Oncology	0923-7534	1569-8041	1990	1	1	1995	6	10	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/annonc.html				fulltext			
Annals of Physical Medicine	1462-0324	1462-0332	1952	1	1	1957	4	3	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/rheumatology.html				fulltext			
Annals of Physical Medicine	1462-0324	1462-0332	1959	5	1	1995	34	12	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/rheumatology.html				fulltext			
Annual Reports on Analytical Atomic Spectroscopy	0306-1353		1971	1		1984	14		http://www.jiscjournalarchives.ac.uk/browse/rsc/titles/AA.html				fulltext			
Annual Reports on the Progress of Chemistry	0365-6217		1904	1		1966	63		http://www.jiscjournalarchives.ac.uk/browse/rsc/titles/AR.html				fulltext			
Annual Reports on the Progress of Chemistry, Sect. B	0069-3030	1460-4779	1967	64		2003	99	1	http://www.jiscjournalarchives.ac.uk/browse/rsc/titles/OC.html				fulltext			
Annual Reports on the Progress of Chemistry, Sect. C	0260-1826	1460-4787	1979	76		2004	100	1	http://www.jiscjournalarchives.ac.uk/browse/rsc/titles/PC.html				fulltext			
Annual Reports on the Progress of Chemistry, Section A: General Physical and Inorganic Chemistry	0069-3022		1967	64		1972	69		http://www.jiscjournalarchives.ac.uk/browse/rsc/titles/GR.html				fulltext			
Annual Reports on the Progress of Chemistry, Section A: Inorganic Chemistry	0260-1818	1460-4760	1979	76		2003	99	1	http://www.jiscjournalarchives.ac.uk/browse/rsc/titles/IC.html				fulltext			
Annual Reports on the Progress of Chemistry, Section A: Physical and Inorganic Chemistry	0308-6003		1973	70		1978	75		http://www.jiscjournalarchives.ac.uk/browse/rsc/titles/PR.html				fulltext			
Anthropologica	0003-5459		1955	1		1959	8		http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/5100.html				fulltext			
Anthropologica	0003-5459		1961	3	1	1990	32	2	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/5100.html				fulltext			
Applied Linguistics	0142-6001		1983	4	1	1995	16	4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/applij.html				fulltext			
Applied Psycholinguistics	0142-7164	1469-1817	1980	1	1	1998	19	4	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/APS.html				fulltext			
Arab Law Quarterly	0268-0556	1573-0255	1988	3	4	2004	19	1	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/02680556.html				fulltext			
Arab Law Quarterly	0268-0556	1573-0255	2006	20	1	2008	22	3	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/02680556.html				fulltext			
Arabic Sciences and Philosophy	0957-4239	1474-0524	1991	1	1	1999	9	2	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/ASP.html				fulltext			
Arabica	0570-5398	1570-0585	1955	2	1	1977	24	2	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/05705398.html				fulltext			
Arabica	0570-5398	1570-0585	1979	26	1	1991	38	1	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/05705398.html				fulltext			
Arabica	0570-5398	1570-0585	1993	40	2	1993	40	3	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/05705398.html				fulltext			
Arabica	0570-5398	1570-0585	1995	42	1	2008	55	3	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/05705398.html				fulltext			
Archaeological Dialogues	1380-2038	1478-2294	1994	1	2	2002	9	2	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/ARD.html				fulltext			
Architectural Research Quarterly	1359-1355	1474-0516	1995	1	1	1997	2	4	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/ARQ.html				fulltext			
Architectural Research Quarterly	1359-1355	1474-0516	1999	3	1	2000	4	4	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/ARQ.html				fulltext			
Archive for the Psychology of Religion / Archiv für Religionspychologie	0084-6724	1573-6121	1914	1	1	1914	5	1	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/00846724.html				fulltext			
Archive for the Psychology of Religion / Archiv für Religionspychologie	0084-6724	1573-6121	1929	4	1	1929	4	1	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/00846724.html				fulltext			
Archive for the Psychology of Religion / Archiv für Religionspychologie	0084-6724	1573-6121	1936	10	1	1936	10	1	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/00846724.html				fulltext			
Archive for the Psychology of Religion / Archiv für Religionspychologie	0084-6724	1573-6121	2004	26	1	2005	27	1	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/00846724.html				fulltext			
Archive for the Psychology of Religion / Archiv für Religionspychologie	0084-6724	1573-6121	2008	30	1	2008	30	1	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/00846724.html				fulltext			
Archives of Clinical Neuropsychology	0887-6177	1873-5843	1986	1	1	1995	10	6	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/acn.html				fulltext			
Arethusa	0004-0975		1968	1	1	1995	28	2	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/q434.html				fulltext			
Artificial Intelligence for Engineering, Design, Analysis and Manufacturing	0890-0604	1469-1760	1987	1	1	1997	11	5	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/AIE.html				fulltext			
Asian Perspectives	0066-8435		1957	1	1	1964	8	2	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/z263.html				fulltext			
Asian Perspectives	0066-8435		1966	9		1982	25	2	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/z263.html				fulltext			
Asian Perspectives	0066-8435		1984	26	1	1984	26	2	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/z263.html				fulltext			
Asian Perspectives	0066-8435		1986	27	1	1986	27	2	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/z263.html				fulltext			
Asian Perspectives	0066-8435		1988	28	1	1988	28	2	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/z263.html				fulltext			
Asian Perspectives	0066-8435		1990	29	1	1995	34	2	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/z263.html				fulltext			
Australian Geographer	0004-9182	1465-3311	1928	1	1	1929	1	2	http://www.jiscjournalarchives.ac.uk/browse/tf/titles/cage20.html				fulltext			
Australian Geographer	0004-9182	1465-3311	1931	1	3	1943	4	6	http://www.jiscjournalarchives.ac.uk/browse/tf/titles/cage20.html				fulltext			
Australian Geographer	0004-9182	1465-3311	1945	5	1	1948	5	7	http://www.jiscjournalarchives.ac.uk/browse/tf/titles/cage20.html				fulltext			
Australian Geographer	0004-9182	1465-3311	1950	5	8	1996	27	2	http://www.jiscjournalarchives.ac.uk/browse/tf/titles/cage20.html				fulltext			
Austrian History Yearbook	0067-2378	1558-5255	1965	1		1968	4		http://www.jiscjournalarchives.ac.uk/browse/cup/titles/AHY.html				fulltext			
Austrian History Yearbook	0067-2378	1558-5255	1970	6		1970	6		http://www.jiscjournalarchives.ac.uk/browse/cup/titles/AHY.html				fulltext			
Austrian History Yearbook	0067-2378	1558-5255	1972	8		1973	9		http://www.jiscjournalarchives.ac.uk/browse/cup/titles/AHY.html				fulltext			
Austrian History Yearbook	0067-2378	1558-5255	1975	11		1979	15		http://www.jiscjournalarchives.ac.uk/browse/cup/titles/AHY.html				fulltext			
Austrian History Yearbook	0067-2378	1558-5255	1981	17		1981	17		http://www.jiscjournalarchives.ac.uk/browse/cup/titles/AHY.html				fulltext			
Austrian History Yearbook	0067-2378	1558-5255	1983	19	1	1984	19	2	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/AHY.html				fulltext			
Austrian History Yearbook	0067-2378	1558-5255	1991	22		2004	35		http://www.jiscjournalarchives.ac.uk/browse/cup/titles/AHY.html				fulltext			
Batiment International, Building Research and Practice	0182-3329		1975	3	1	1990	18	6	http://www.jiscjournalarchives.ac.uk/browse/tf/titles/rbri19.html				fulltext			
Behavioral and Brain Sciences		1469-1825	1978	1	1	1978	1	4	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/BBS.html				fulltext			
Behavioral and Brain Sciences		1469-1825	1980	3	1	1989	12	4	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/BBS.html				fulltext			
Behavioral and Brain Sciences		1469-1825	1993	16	1	1996	19	4	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/BBS.html				fulltext			
Behavioral Ecology	1045-2249	1465-7279	1990	1	1	1995	6	4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/beheco.html				fulltext			
Behaviour	0005-7959		1948	1	1	1948	1	1	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/00057959.html				fulltext			
Behaviour	0005-7959		1950	2	1	1951	4	1	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/00057959.html				fulltext			
Behaviour	0005-7959		1953	5	1	1997	134	15	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/00057959.html				fulltext			
Behaviour	0005-7959		1999	136	1	2008	145	12	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/00057959.html				fulltext			
Behavioural Psychotherapy	0141-3473	1469-1833	1975	3	1	1997	25	4	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/BCP.html				fulltext			
Biblical Interpretation: A Journal of Contemporary Approaches	0927-2569	1568-5152	1993	1	1	2008	16	5	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/09272569.html				fulltext			
Bioinformatics	1367-4803	1460-2059	1985	1	1	1995	11	6	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/bioinfo.html				fulltext			
Biometrika	0006-3444	1464-3510	1901	1	1	1905	4	3	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/biomet.html				fulltext			
Biometrika	0006-3444	1464-3510	1909	6	4	1911	8	1-2	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/biomet.html				fulltext			
Biometrika	0006-3444	1464-3510	1913	9	1-2	1916	11	3	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/biomet.html				fulltext			
Biometrika	0006-3444	1464-3510	1919	12	3-4	1921	13	4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/biomet.html				fulltext			
Biometrika	0006-3444	1464-3510	1923	15	3-4	1923	15	3-4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/biomet.html				fulltext			
Biometrika	0006-3444	1464-3510	1925	17	1-2	1925	17	1-2	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/biomet.html				fulltext			
Biometrika	0006-3444	1464-3510	1927	19	1-2	1928	20A	3-4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/biomet.html				fulltext			
Biometrika	0006-3444	1464-3510	1931	22	3-4	1935	27	3-4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/biomet.html				fulltext			
Biometrika	0006-3444	1464-3510	1939	30	3-4	1942	32	3-4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/biomet.html				fulltext			
Biometrika	0006-3444	1464-3510	1944	33	2	1995	82	4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/biomet.html				fulltext			
Books Abroad	0196-3570		1927	1	1	1995	69	4	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/8211.html				fulltext			
Brain	0006-8950	1460-2156	1878	1	1	1995	118	6	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/brain.html				fulltext			
British Journal of Anaesthesia	0007-0912	1471-6771	1923	1	1	1995	74	6	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/brjana.html				fulltext			
British Journal of Anaesthetic and Recovery Nursing	1742-6456	1744-2192	2000	1	1	2004	5	4	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/ARN.html				fulltext			
British Journal of Applied Physics	0508-3443		1950	1	1	1967	18	12	http://www.jiscjournalarchives.ac.uk/browse/iop/titles/0508-3443.html				fulltext			
British Journal of Criminology	0007-0955	1464-3529	1960	1	1	1995	35	4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/crimin.html				fulltext			
British Journal of Music Education	0265-0517	1469-2104	1984	1	1	1998	15	3	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/BME.html				fulltext			
British Journal of Nutrition	0007-1145	1475-2662	1947	1	1	2006	96	6	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/BJN.html				fulltext			
British Journal of Political Science	0007-1234	1469-2112	1971	1	1	1996	26	4	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/JPS.html				fulltext			
British Journal of Social Work	0045-3102		1971	1	1	1995	25	6	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/bjsw.html				fulltext			
British Medical Bulletin	0007-1420	1471-8391	1943	1	1	1995	51	4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/bmbull.html				fulltext			
Building Research & Information	0961-3218	1466-4321	1991	19	1	1996	24	6	http://www.jiscjournalarchives.ac.uk/browse/tf/titles/rbri20.html				fulltext			
Building Research and Practice	0306-9931		1973	1	1	1974	2	6	http://www.jiscjournalarchives.ac.uk/browse/tf/titles/rbri18.html				fulltext			
Bulletin of Entomological Research	0007-4853	1475-2670	1910	1	2	1998	88	6	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/BER.html				fulltext			
Bulletin of the Australian Mathematical Society	0004-9727	1755-1633	1969	1	1	2007	76	3	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/BAZ.html				fulltext			
Bulletin of the British Society for the History of Science	0950-5636		1949	1	S1	1958	2	19	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/BBH.html				fulltext			
Bulletin of the British Society for the History of Science	0950-5636		1961	2	20	1961	2	20	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/BBH.html				fulltext			
Bulletin of the International Institute of Social History			1937	1	1	1940	4	1	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/BSH.html				fulltext			
Bulletin of the International Institute of Social History			1950	5	1	1955	10	3	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/BSH.html				fulltext			
Bulletin of the School of Oriental and African Studies		1474-0699	1917	1	1	1918	1	2	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/BSO.html				fulltext			
Bulletin of the School of Oriental and African Studies		1474-0699	1920	1	3	1940	10	3	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/BSO.html				fulltext			
Bulletin of the School of Oriental and African Studies		1474-0699	1942	10	4	2000	63	3	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/BSO.html				fulltext			
California Studies in Classical Antiquity	0278-6656		1969	2		1969	2		http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/d419.html				fulltext			
California Studies in Classical Antiquity	0278-6656		1971	4		1972	5		http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/d419.html				fulltext			
California Studies in Classical Antiquity	0278-6656		1974	6		1974	6		http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/d419.html				fulltext			
California Studies in Classical Antiquity	0278-6656		1978	10		1979	11		http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/d419.html				fulltext			
California Studies in Classical Antiquity	0278-6656		1981	12		1994	13	2	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/d419.html				fulltext			
Cambridge Archaeological Journal	0959-7743	1474-0540	1991	1	1	1999	9	2	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/CAJ.html				fulltext			
Cambridge Journal of Economics		1464-3545	1977	1	1	1995	19	6	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/cameco.html				fulltext			
Cambridge Opera Journal	0954-5867	1474-0621	1989	1	1	1999	11	3	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/OPR.html				fulltext			
Cambridge Quarterly of Healthcare Ethics	0963-1801	1469-2147	1992	1	1	1997	6	4	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/CQH.html				fulltext			
Camden Fifth Series	0960-1163	1478-5110	1993	1		2002	21		http://www.jiscjournalarchives.ac.uk/browse/cup/titles/RHC.html				fulltext			
Camden Fourth Series	0068-6905		1964	1		1969	7		http://www.jiscjournalarchives.ac.uk/browse/cup/titles/RHF.html				fulltext			
Camden Fourth Series	0068-6905		1971	8		1980	25		http://www.jiscjournalarchives.ac.uk/browse/cup/titles/RHF.html				fulltext			
Camden Fourth Series	0068-6905		1982	26		1984	30		http://www.jiscjournalarchives.ac.uk/browse/cup/titles/RHF.html				fulltext			
Camden Fourth Series	0068-6905		1986	31		1992	44		http://www.jiscjournalarchives.ac.uk/browse/cup/titles/RHF.html				fulltext			
Camden New Series	2042-1702	2042-1702	1872	1		1879	25		http://www.jiscjournalarchives.ac.uk/browse/cup/titles/RHN.html				fulltext			
Camden New Series	2042-1702	2042-1702	1881	26		1892	51		http://www.jiscjournalarchives.ac.uk/browse/cup/titles/RHN.html				fulltext			
Camden New Series	2042-1702	2042-1702	1894	52		1901	62		http://www.jiscjournalarchives.ac.uk/browse/cup/titles/RHN.html				fulltext			
Camden Old Series	2042-1699	2042-1699	1838	1		1865	91		http://www.jiscjournalarchives.ac.uk/browse/cup/titles/RHO.html				fulltext			
Camden Old Series	2042-1699	2042-1699	1867	92		1872	106		http://www.jiscjournalarchives.ac.uk/browse/cup/titles/RHO.html				fulltext			
Camden Third Series	2042-1710	2042-1710	1900	1		1900	2		http://www.jiscjournalarchives.ac.uk/browse/cup/titles/RHR.html				fulltext			
Camden Third Series	2042-1710	2042-1710	1902	3		1917	28		http://www.jiscjournalarchives.ac.uk/browse/cup/titles/RHR.html				fulltext			
Camden Third Series	2042-1710	2042-1710	1919	29		1920	31		http://www.jiscjournalarchives.ac.uk/browse/cup/titles/RHR.html				fulltext			
Camden Third Series	2042-1710	2042-1710	1922	32		1922	33		http://www.jiscjournalarchives.ac.uk/browse/cup/titles/RHR.html				fulltext			
Camden Third Series	2042-1710	2042-1710	1924	34		1942	66		http://www.jiscjournalarchives.ac.uk/browse/cup/titles/RHR.html				fulltext			
Camden Third Series	2042-1710	2042-1710	1944	67		1945	69		http://www.jiscjournalarchives.ac.uk/browse/cup/titles/RHR.html				fulltext			
Camden Third Series	2042-1710	2042-1710	1948	79		1954	87		http://www.jiscjournalarchives.ac.uk/browse/cup/titles/RHR.html				fulltext			
Camden Third Series	2042-1710	2042-1710	1956	88		1958	90		http://www.jiscjournalarchives.ac.uk/browse/cup/titles/RHR.html				fulltext			
Camden Third Series	2042-1710	2042-1710	1961	91		1963	94		http://www.jiscjournalarchives.ac.uk/browse/cup/titles/RHR.html				fulltext			
Canadian Journal of History/Annales canadiennes d'histoire	0008-4107		1966	1	1	1995	30	3	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/b059.html				fulltext			
Canadian Journal of Political Science	0008-4239	1744-9324	1968	1	1	1999	32	4	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/CJP.html				fulltext			
Carcinogenesis	0143-3334	1460-2180	1980	1	1	1995	16	12	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/carcin.html				fulltext			
Cardiology in the Young	1047-9511	1467-1107	1991	1	1	2000	10	6	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/CTY.html				fulltext			
cardiovascres		1755-3245	1967	1	1	1995	30	6	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/cardiovascres.html				fulltext			
